sport,level,league,date,day,time,home_team,road_team,location,home_city,home_state
soccer,pro,mls,2024-08-24,Saturday,TBD,Minnesota,Seattle,Allianz Field,,
soccer,pro,mls,2024-08-24,Saturday,TBD,Vancouver,LAFC,BC Place,,
soccer,pro,mls,2024-08-24,Saturday,7:30PM,Charlotte,New York,Bank of America Stadium,Charlotte,NC
soccer,pro,mls,2024-08-24,Saturday,7:30PM,D.C.,Dallas,Audi Field,Washington,DC
soccer,pro,mls,2024-08-24,Saturday,7:30PM,Miami,Cincinnati,DRV PNK Stadium,Miami,FL
soccer,pro,mls,2024-08-24,Saturday,7:30PM,Montréal,New England,Stade Saputo,,
soccer,pro,mls,2024-08-24,Saturday,7:30PM,NYC,Chicago,Citi Field,,
soccer,pro,mls,2024-08-24,Saturday,7:30PM,Philadelphia,Columbus,Subaru Park,Philadelphia,PA
soccer,pro,mls,2024-08-24,Saturday,8:30PM,Houston,Toronto,Shell Energy Stadium,Houston,TX
soccer,pro,mls,2024-08-24,Saturday,8:30PM,Kansas City,Orlando,Children's Mercy Park,,
soccer,pro,mls,2024-08-24,Saturday,8:30PM,Nashville,Austin,GEODIS Park,Nashville,TN
soccer,pro,mls,2024-08-24,Saturday,9:30PM,Salt Lake,San Jose,America First Field,,
soccer,pro,mls,2024-08-24,Saturday,10:30PM,LA,Atlanta,Dignity Health Sports Park,Los Angeles,CA
soccer,pro,mls,2024-08-24,Saturday,10:30PM,Portland,St. Louis,Providence Park,Portland,OR
