Sport,Level,League,Date,Day,Time,Home Team,Road Team,Location,City,State
basketball,college,ncaab,2024-02-06,Tuesday,6:30 p.m.,St. John's University,DePaul,"Belmont Park, N.Y. (UBS Arena)",,
basketball,college,ncaab,2024-02-10,Saturday,6 p.m.,Marquette,St. John's University,"Milwaukee, Wis. (Fiserv Forum)",,
basketball,college,ncaab,2024-02-13,Tuesday,7 p.m.,Providence,St. John's University,"Providence, R.I. (Amica Mutual Pavilion)",,
basketball,college,ncaab,2024-02-18,Sunday,5 p.m.,St. John's University,Seton Hall,"Belmont Park, N.Y. (UBS Arena)",,
basketball,college,ncaab,2024-02-21,Wednesday,7 p.m.,Georgetown,St. John's University,"Washington, D.C. (Capital One Arena)",,
basketball,college,ncaab,2024-02-25,Sunday,12 p.m.,St. John's University,Creighton,"New York, N.Y. (Madison Square Garden)",,
basketball,college,ncaab,2024-02-28,Wednesday,8:30 p.m.,Butler,St. John's University,"Indianapolis, Ind. (Hinkle Fieldhouse)",,
basketball,college,ncaab,2024-03-05,Tuesday,9 p.m.,DePaul,St. John's University,"Chicago, Ill. (Wintrust Arena)",,
basketball,college,ncaab,2024-03-09,Saturday,12 p.m.,St. John's University,Georgetown,"New York, N.Y. (Madison Square Garden)",,
basketball,college,ncaab,2024-03-13,Wednesday,TBD,St. John's University,BIG EAST Tournament,"New York, N.Y. (Madison Square Garden)",,
