sport,level,league,date,day,time,home_team,road_team,location,home_city,home_state
baseball,pro,MLB,2024-02-22,Thursday,,San Diego Padres,Los Angeles Dodgers,TBD,,
baseball,pro,MLB,2024-02-23,Friday,,Colorado Rockies,Arizona D'Backs,TBD,,
baseball,pro,MLB,2024-02-23,Friday,,Chicago Cubs,Chicago White Sox,TBD,,
baseball,pro,MLB,2024-02-23,Friday,,Los Angeles Dodgers,San Diego Padres,TBD,,
baseball,pro,MLB,2024-02-23,Friday,,Texas Rangers,Kansas City Royals,TBD,,
baseball,pro,MLB,2024-02-24,Saturday,,Arizona D'Backs,Colorado Rockies,TBD,,
baseball,pro,MLB,2024-02-24,Saturday,,Baltimore Orioles,Boston Red Sox,TBD,,
baseball,pro,MLB,2024-02-24,Saturday,,Cleveland Guardians,Cincinnati Reds,TBD,,
baseball,pro,MLB,2024-02-24,Saturday,,Detroit Tigers,New York Yankees,TBD,,
baseball,pro,MLB,2024-02-24,Saturday,,Tampa Bay Rays,Atlanta Braves,TBD,,
baseball,pro,MLB,2024-02-24,Saturday,,Minnesota Twins,Pittsburgh Pirates,TBD,,
baseball,pro,MLB,2024-02-24,Saturday,,St. Louis Cardinals,Miami Marlins,TBD,,
baseball,pro,MLB,2024-02-24,Saturday,,Toronto Blue Jays,Philadelphia Phillies,TBD,,
baseball,pro,MLB,2024-02-24,Saturday,,New York Mets,St. Louis Cardinals,TBD,,
baseball,pro,MLB,2024-02-24,Saturday,,Chicago White Sox,Seattle Mariners,TBD,,
baseball,pro,MLB,2024-02-24,Saturday,,Kansas City Royals,Texas Rangers,TBD,,
baseball,pro,MLB,2024-02-24,Saturday,,Oakland Athletics,Colorado Rockies,TBD,,
baseball,pro,MLB,2024-02-24,Saturday,,San Francisco Giants,Chicago Cubs,TBD,,
baseball,pro,MLB,2024-02-24,Saturday,,Los Angeles Angels,Los Angeles Dodgers,TBD,,
baseball,pro,MLB,2024-02-24,Saturday,,San Diego Padres,Milwaukee Brewers,TBD,,
baseball,pro,MLB,2024-02-24,Saturday,,Washington Nationals,Houston Astros,TBD,,
baseball,pro,MLB,2024-02-25,Sunday,,Arizona D'Backs,Chicago White Sox,TBD,,
baseball,pro,MLB,2024-02-25,Sunday,,Tampa Bay Rays,Detroit Tigers,TBD,,
baseball,pro,MLB,2024-02-25,Sunday,,Seattle Mariners,Cleveland Guardians,TBD,,
baseball,pro,MLB,2024-02-25,Sunday,,Milwaukee Brewers,Colorado Rockies,TBD,,
baseball,pro,MLB,2024-02-25,Sunday,,Miami Marlins,Washington Nationals,TBD,,
baseball,pro,MLB,2024-02-25,Sunday,,Houston Astros,St. Louis Cardinals,TBD,,
baseball,pro,MLB,2024-02-25,Sunday,,Cincinnati Reds,Los Angeles Angels,TBD,,
baseball,pro,MLB,2024-02-25,Sunday,,Boston Red Sox,Minnesota Twins,TBD,,
baseball,pro,MLB,2024-02-25,Sunday,,Atlanta Braves,Boston Red Sox,TBD,,
baseball,pro,MLB,2024-02-25,Sunday,,New York Yankees,Toronto Blue Jays,TBD,,
baseball,pro,MLB,2024-02-25,Sunday,,Philadelphia Phillies,New York Yankees,TBD,,
baseball,pro,MLB,2024-02-25,Sunday,,Pittsburgh Pirates,Baltimore Orioles,TBD,,
baseball,pro,MLB,2024-02-25,Sunday,,New York Mets,Houston Astros,TBD,,
baseball,pro,MLB,2024-02-25,Sunday,,Los Angeles Dodgers,Oakland Athletics,TBD,,
baseball,pro,MLB,2024-02-25,Sunday,,Chicago Cubs,San Diego Padres,TBD,,
baseball,pro,MLB,2024-02-25,Sunday,,Texas Rangers,San Francisco Giants,TBD,,
baseball,pro,MLB,2024-02-25,Sunday,,Los Angeles Angels,Kansas City Royals,TBD,,
baseball,pro,MLB,2024-02-26,Monday,,Atlanta Braves,Baltimore Orioles,TBD,,
baseball,pro,MLB,2024-02-26,Monday,,Baltimore Orioles,Tampa Bay Rays,TBD,,
baseball,pro,MLB,2024-02-26,Monday,,Boston Red Sox,Philadelphia Phillies,TBD,,
baseball,pro,MLB,2024-02-26,Monday,,Cincinnati Reds,Seattle Mariners,TBD,,
baseball,pro,MLB,2024-02-26,Monday,,Colorado Rockies,Los Angeles Dodgers,TBD,,
baseball,pro,MLB,2024-02-26,Monday,,Detroit Tigers,Houston Astros,TBD,,
baseball,pro,MLB,2024-02-26,Monday,,Miami Marlins,St. Louis Cardinals,TBD,,
baseball,pro,MLB,2024-02-26,Monday,,Milwaukee Brewers,Cincinnati Reds,TBD,,
baseball,pro,MLB,2024-02-26,Monday,,New York Yankees,Minnesota Twins,TBD,,
baseball,pro,MLB,2024-02-26,Monday,,Washington Nationals,New York Mets,TBD,,
baseball,pro,MLB,2024-02-26,Monday,,Toronto Blue Jays,Pittsburgh Pirates,TBD,,
baseball,pro,MLB,2024-02-26,Monday,,Chicago White Sox,Texas Rangers,TBD,,
baseball,pro,MLB,2024-02-26,Monday,,Kansas City Royals,Chicago Cubs,TBD,,
baseball,pro,MLB,2024-02-26,Monday,,Oakland Athletics,Arizona D'Backs,TBD,,
baseball,pro,MLB,2024-02-26,Monday,,San Francisco Giants,Los Angeles Angels,TBD,,
baseball,pro,MLB,2024-02-26,Monday,,San Diego Padres,Cleveland Guardians,TBD,,
baseball,pro,MLB,2024-02-27,Tuesday,,Arizona D'Backs,Texas Rangers,TBD,,
baseball,pro,MLB,2024-02-27,Tuesday,,Baltimore Orioles,Detroit Tigers,TBD,,
baseball,pro,MLB,2024-02-27,Tuesday,,Cleveland Guardians,Oakland Athletics,TBD,,
baseball,pro,MLB,2024-02-27,Tuesday,,Detroit Tigers,Toronto Blue Jays,TBD,,
baseball,pro,MLB,2024-02-27,Tuesday,,Houston Astros,Washington Nationals,TBD,,
baseball,pro,MLB,2024-02-27,Tuesday,,Tampa Bay Rays,New York Yankees,TBD,,
baseball,pro,MLB,2024-02-27,Tuesday,,Minnesota Twins,Philadelphia Phillies,TBD,,
baseball,pro,MLB,2024-02-27,Tuesday,,Pittsburgh Pirates,Atlanta Braves,TBD,,
baseball,pro,MLB,2024-02-27,Tuesday,,St. Louis Cardinals,Boston Red Sox,TBD,,
baseball,pro,MLB,2024-02-27,Tuesday,,New York Mets,Miami Marlins,TBD,,
baseball,pro,MLB,2024-02-27,Tuesday,,Chicago Cubs,Cincinnati Reds,TBD,,
baseball,pro,MLB,2024-02-27,Tuesday,,Kansas City Royals,Colorado Rockies,TBD,,
baseball,pro,MLB,2024-02-27,Tuesday,,Los Angeles Dodgers,Chicago White Sox,TBD,,
baseball,pro,MLB,2024-02-27,Tuesday,,San Francisco Giants,Seattle Mariners,TBD,,
baseball,pro,MLB,2024-02-27,Tuesday,,Los Angeles Angels,Milwaukee Brewers,TBD,,
baseball,pro,MLB,2024-02-27,Tuesday,,San Diego Padres,Kansas City Royals,TBD,,
baseball,pro,MLB,2024-02-28,Wednesday,,Cleveland Guardians,Arizona D'Backs,TBD,,
baseball,pro,MLB,2024-02-28,Wednesday,,Colorado Rockies,Los Angeles Angels,TBD,,
baseball,pro,MLB,2024-02-28,Wednesday,,Miami Marlins,Houston Astros,TBD,,
baseball,pro,MLB,2024-02-28,Wednesday,,Milwaukee Brewers,Chicago Cubs,TBD,,
baseball,pro,MLB,2024-02-28,Wednesday,,Seattle Mariners,Kansas City Royals,TBD,,
baseball,pro,MLB,2024-02-28,Wednesday,,Minnesota Twins,Baltimore Orioles,TBD,,
baseball,pro,MLB,2024-02-28,Wednesday,,Philadelphia Phillies,Atlanta Braves,TBD,,
baseball,pro,MLB,2024-02-28,Wednesday,,Pittsburgh Pirates,Detroit Tigers,TBD,,
baseball,pro,MLB,2024-02-28,Wednesday,,Washington Nationals,Boston Red Sox,TBD,,
baseball,pro,MLB,2024-02-28,Wednesday,,Toronto Blue Jays,Tampa Bay Rays,TBD,,
