sport,level,league,date,day,time,home_team,road_team,location,home_city,home_state
baseball,minors,Double-A,2024-05-17,Friday,12:05 PM ET,Richmond,Reading,The Diamond,Richmond,VA
baseball,minors,Triple-A,2024-05-17,Friday,6:05 PM ET,Worcester,Scranton/WB,Polar Park,Worcester,MA
baseball,minors,Single-A,2024-05-17,Friday,6:30 PM ET,Dunedin,Jupiter,TD Ballpark,Dunedin,FL
baseball,minors,Single-A,2024-05-17,Friday,6:30 PM ET,Palm Beach,St. Lucie,Roger Dean Chevrolet Stadium,Jupiter,FL
baseball,minors,Single-A,2024-05-17,Friday,6:30 PM ET,Lynchburg,Delmarva,Bank of the James Stadium,Lynchburg,VA
baseball,minors,Single-A,2024-05-17,Friday,6:30 PM ET,Clearwater,Daytona,BayCare Ballpark,Clearwater,FL
baseball,minors,Single-A,2024-05-17,Friday,6:30 PM ET,Lakeland,Fort Myers,Publix Field at Joker Marchant Stadium,Lakeland,FL
baseball,minors,Single-A,2024-05-17,Friday,6:30 PM ET,Tampa,Bradenton,George M. Steinbrenner Field,Tampa,FL
baseball,minors,High-A,2024-05-17,Friday,6:35 PM ET,Wilmington,Aberdeen,Frawley Stadium,Wilmington,DE
baseball,minors,Triple-A,2024-05-17,Friday,6:35 PM ET,Syracuse,Iowa,NBT Bank Stadium,Syracuse,NY
baseball,minors,High-A,2024-05-17,Friday,6:35 PM ET,Asheville,Rome,McCormick Field,Asheville,NC
baseball,minors,Triple-A,2024-05-17,Friday,6:35 PM ET,Norfolk,Lehigh Valley,Harbor Park,Norfolk,VA
baseball,minors,Double-A,2024-05-17,Friday,6:35 PM ET,Somerset,Portland,TD Bank Ballpark,Bridgewater,NJ
baseball,minors,Triple-A,2024-05-17,Friday,6:45 PM ET,Rochester,Buffalo,Innovative Field,Rochester,NY
baseball,minors,High-A,2024-05-17,Friday,7:00 PM ET,Hickory,Greensboro,L.P. Frans Stadium,Hickory,NC
baseball,minors,Single-A,2024-05-17,Friday,7:00 PM ET,Down East,Carolina,Grainger Stadium,Kinston,NC
