Sport,Level,League,Date,Day,Time,Home Team,Road Team,City,State
basketball,pro,NBA,2023-11-01,Wednesday,",",New York Knicks,Cleveland Cavaliers,New York,NY
basketball,pro,NBA,2023-11-01,Wednesday,",",Oklahoma City Thunder,New Orleans Pelicans,Oklahoma City,OK
basketball,pro,NBA,2023-11-01,Wednesday,",",Houston Rockets,Charlotte Hornets,Houston,TX
basketball,pro,NBA,2023-11-01,Wednesday,",",Minnesota Timberwolves,Denver Nuggets,Minneapolis,MN
basketball,pro,NBA,2023-11-01,Wednesday,",",Dallas Mavericks,Chicago Bulls,Dallas,TX
basketball,pro,NBA,2023-11-01,Wednesday,",",Utah Jazz,Memphis Grizzlies,Salt Lake City,UT
basketball,pro,NBA,2023-11-01,Wednesday,",",Golden State Warriors,Sacramento Kings,San Francisco,CA
basketball,pro,NBA,2023-11-01,Wednesday,",",Los Angeles Lakers,Los Angeles Clippers,Los Angeles,CA
basketball,pro,NBA,2023-11-02,Thursday,",",Philadelphia 76ers,Toronto Raptors,Philadelphia,PA
basketball,pro,NBA,2023-11-02,Thursday,",",New Orleans Pelicans,Detroit Pistons,New Orleans,LA
basketball,pro,NBA,2023-11-02,Thursday,",",Utah Jazz,Orlando Magic,Salt Lake City,UT
basketball,pro,NBA,2023-11-02,Thursday,",",Phoenix Suns,San Antonio Spurs,Phoenix,AZ
basketball,pro,NBA,2023-11-03,Friday,",",Indiana Pacers,Cleveland Cavaliers,Indianapolis,IN
basketball,pro,NBA,2023-11-03,Friday,",",Milwaukee Bucks,New York Knicks,Milwaukee,WI
basketball,pro,NBA,2023-11-03,Friday,",",Chicago Bulls,Brooklyn Nets,Chicago,IL
basketball,pro,NBA,2023-11-03,Friday,",",Miami Heat,Washington Wizards,Miami,FL
basketball,pro,NBA,2023-11-03,Friday,",",Oklahoma City Thunder,Golden State Warriors,Oklahoma City,OK
basketball,pro,NBA,2023-11-03,Friday,",",Denver Nuggets,Dallas Mavericks,Denver,CO
basketball,pro,NBA,2023-11-03,Friday,",",Portland Trail Blazers,Memphis Grizzlies,Portland,OR
basketball,pro,NBA,2023-11-04,Saturday,",",Philadelphia 76ers,Phoenix Suns,Philadelphia,PA
basketball,pro,NBA,2023-11-04,Saturday,",",Indiana Pacers,Charlotte Hornets,Indianapolis,IN
basketball,pro,NBA,2023-11-04,Saturday,",",New Orleans Pelicans,Atlanta Hawks,New Orleans,LA
basketball,pro,NBA,2023-11-04,Saturday,",",Orlando Magic,Los Angeles Lakers,Orlando,FL
basketball,pro,NBA,2023-11-04,Saturday,",",Brooklyn Nets,Boston Celtics,Brooklyn,NY
basketball,pro,NBA,2023-11-04,Saturday,",",Houston Rockets,Sacramento Kings,Houston,TX
basketball,pro,NBA,2023-11-04,Saturday,",",Minnesota Timberwolves,Utah Jazz,Minneapolis,MN
basketball,pro,NBA,2023-11-04,Saturday,",",Denver Nuggets,Chicago Bulls,Denver,CO
basketball,pro,NBA,2023-11-05,Sunday,",",Detroit Pistons,Phoenix Suns,Detroit,MI
basketball,pro,NBA,2023-11-05,Sunday,",",San Antonio Spurs,Toronto Raptors,San Antonio,TX
basketball,pro,NBA,2023-11-05,Sunday,",",Cleveland Cavaliers,Golden State Warriors,Cleveland,OH
basketball,pro,NBA,2023-11-05,Sunday,",",Dallas Mavericks,Charlotte Hornets,Dallas,TX
basketball,pro,NBA,2023-11-05,Sunday,",",Portland Trail Blazers,Memphis Grizzlies,Portland,OR
basketball,pro,NBA,2023-11-06,Monday,",",Detroit Pistons,Golden State Warriors,Detroit,MI
basketball,pro,NBA,2023-11-06,Monday,",",Indiana Pacers,San Antonio Spurs,Indianapolis,IN
basketball,pro,NBA,2023-11-06,Monday,",",Orlando Magic,Dallas Mavericks,Orlando,FL
basketball,pro,NBA,2023-11-06,Monday,",",Philadelphia 76ers,Washington Wizards,Philadelphia,PA
basketball,pro,NBA,2023-11-06,Monday,",",Brooklyn Nets,Milwaukee Bucks,Brooklyn,NY
basketball,pro,NBA,2023-11-06,Monday,",",Miami Heat,Los Angeles Lakers,Miami,FL
basketball,pro,NBA,2023-11-06,Monday,",",New York Knicks,Los Angeles Clippers,New York,NY
basketball,pro,NBA,2023-11-06,Monday,",",Chicago Bulls,Utah Jazz,Chicago,IL
basketball,pro,NBA,2023-11-06,Monday,",",Houston Rockets,Sacramento Kings,Houston,TX
basketball,pro,NBA,2023-11-06,Monday,",",Minnesota Timberwolves,Boston Celtics,Minneapolis,MN
basketball,pro,NBA,2023-11-06,Monday,",",Oklahoma City Thunder,Atlanta Hawks,Oklahoma City,OK
basketball,pro,NBA,2023-11-06,Monday,",",Denver Nuggets,New Orleans Pelicans,Denver,CO
basketball,pro,NBA,2023-11-08,Wednesday,",",Charlotte Hornets,Washington Wizards,Charlotte,NC
basketball,pro,NBA,2023-11-08,Wednesday,",",Indiana Pacers,Utah Jazz,Indianapolis,IN
basketball,pro,NBA,2023-11-08,Wednesday,",",Philadelphia 76ers,Boston Celtics,Philadelphia,PA
basketball,pro,NBA,2023-11-08,Wednesday,",",Brooklyn Nets,Los Angeles Clippers,Brooklyn,NY
basketball,pro,NBA,2023-11-08,Wednesday,",",New York Knicks,San Antonio Spurs,New York,NY
basketball,pro,NBA,2023-11-08,Wednesday,",",Chicago Bulls,Phoenix Suns,Chicago,IL
basketball,pro,NBA,2023-11-08,Wednesday,",",Houston Rockets,Los Angeles Lakers,Houston,TX
basketball,pro,NBA,2023-11-08,Wednesday,",",Memphis Grizzlies,Miami Heat,Memphis,TN
basketball,pro,NBA,2023-11-08,Wednesday,",",Milwaukee Bucks,Detroit Pistons,Milwaukee,WI
basketball,pro,NBA,2023-11-08,Wednesday,",",Minnesota Timberwolves,New Orleans Pelicans,Minneapolis,MN
basketball,pro,NBA,2023-11-08,Wednesday,",",Oklahoma City Thunder,Cleveland Cavaliers,Oklahoma City,OK
basketball,pro,NBA,2023-11-08,Wednesday,",",Dallas Mavericks,Toronto Raptors,Dallas,TX
basketball,pro,NBA,2023-11-08,Wednesday,",",Denver Nuggets,Golden State Warriors,Denver,CO
basketball,pro,NBA,2023-11-08,Wednesday,",",Sacramento Kings,Portland Trail Blazers,Sacramento,CA
basketball,pro,NBA,2023-11-09,Thursday,",",Indiana Pacers,Milwaukee Bucks,Indianapolis,IN
basketball,pro,NBA,2023-11-09,Thursday,",",Orlando Magic,Atlanta Hawks,Orlando,FL
basketball,pro,NBA,2023-11-10,Friday,",",Detroit Pistons,Philadelphia 76ers,Detroit,MI
basketball,pro,NBA,2023-11-10,Friday,",",Washington Wizards,Charlotte Hornets,Washington,DC
basketball,pro,NBA,2023-11-10,Friday,",",Boston Celtics,Brooklyn Nets,Boston,MA
basketball,pro,NBA,2023-11-10,Friday,",",Houston Rockets,New Orleans Pelicans,Houston,TX
basketball,pro,NBA,2023-11-10,Friday,",",Memphis Grizzlies,Utah Jazz,Memphis,TN
basketball,pro,NBA,2023-11-10,Friday,",",San Antonio Spurs,Minnesota Timberwolves,San Antonio,TX
basketball,pro,NBA,2023-11-10,Friday,",",Dallas Mavericks,Los Angeles Clippers,Dallas,TX
basketball,pro,NBA,2023-11-10,Friday,",",Phoenix Suns,Los Angeles Lakers,Phoenix,AZ
basketball,pro,NBA,2023-11-10,Friday,",",Sacramento Kings,Oklahoma City Thunder,Sacramento,CA
basketball,pro,NBA,2023-11-11,Saturday,",",Orlando Magic,Milwaukee Bucks,Orlando,FL
basketball,pro,NBA,2023-11-11,Saturday,",",Boston Celtics,Toronto Raptors,Boston,MA
basketball,pro,NBA,2023-11-11,Saturday,",",Atlanta Hawks,Miami Heat,Atlanta,GA
basketball,pro,NBA,2023-11-11,Saturday,",",Golden State Warriors,Cleveland Cavaliers,San Francisco,CA
basketball,pro,NBA,2023-11-12,Sunday,",",New York Knicks,Charlotte Hornets,New York,NY
basketball,pro,NBA,2023-11-12,Sunday,",",Brooklyn Nets,Washington Wizards,Brooklyn,NY
basketball,pro,NBA,2023-11-12,Sunday,",",Los Angeles Clippers,Memphis Grizzlies,Los Angeles,CA
basketball,pro,NBA,2023-11-12,Sunday,",",Philadelphia 76ers,Indiana Pacers,Philadelphia,PA
basketball,pro,NBA,2023-11-12,Sunday,",",Chicago Bulls,Detroit Pistons,Chicago,IL
basketball,pro,NBA,2023-11-12,Sunday,",",Houston Rockets,Denver Nuggets,Houston,TX
basketball,pro,NBA,2023-11-12,Sunday,",",New Orleans Pelicans,Dallas Mavericks,New Orleans,LA
basketball,pro,NBA,2023-11-12,Sunday,",",San Antonio Spurs,Miami Heat,San Antonio,TX
basketball,pro,NBA,2023-11-12,Sunday,",",Phoenix Suns,Oklahoma City Thunder,Phoenix,AZ
basketball,pro,NBA,2023-11-12,Sunday,",",Golden State Warriors,Minnesota Timberwolves,San Francisco,CA
basketball,pro,NBA,2023-11-12,Sunday,",",Los Angeles Lakers,Portland Trail Blazers,Los Angeles,CA
basketball,pro,NBA,2023-11-13,Monday,",",Boston Celtics,New York Knicks,Boston,MA
basketball,pro,NBA,2023-11-13,Monday,",",Toronto Raptors,Washington Wizards,Toronto,ON
basketball,pro,NBA,2023-11-13,Monday,",",Milwaukee Bucks,Chicago Bulls,Milwaukee,WI
basketball,pro,NBA,2023-11-13,Monday,",",Sacramento Kings,Cleveland Cavaliers,Sacramento,CA
basketball,pro,NBA,2023-11-14,Tuesday,",",Charlotte Hornets,Miami Heat,Charlotte,NC
basketball,pro,NBA,2023-11-14,Tuesday,",",Detroit Pistons,Atlanta Hawks,Detroit,MI
basketball,pro,NBA,2023-11-14,Tuesday,",",Philadelphia 76ers,Indiana Pacers,Philadelphia,PA
basketball,pro,NBA,2023-11-14,Tuesday,",",Brooklyn Nets,Orlando Magic,Brooklyn,NY
basketball,pro,NBA,2023-11-14,Tuesday,",",Oklahoma City Thunder,San Antonio Spurs,Oklahoma City,OK
basketball,pro,NBA,2023-11-14,Tuesday,",",New Orleans Pelicans,Dallas Mavericks,New Orleans,LA
basketball,pro,NBA,2023-11-14,Tuesday,",",Utah Jazz,Portland Trail Blazers,Salt Lake City,UT
basketball,pro,NBA,2023-11-14,Tuesday,",",Denver Nuggets,Los Angeles Clippers,Denver,CO
basketball,pro,NBA,2023-11-14,Tuesday,",",Golden State Warriors,Minnesota Timberwolves,San Francisco,CA
basketball,pro,NBA,2023-11-14,Tuesday,",",Los Angeles Lakers,Memphis Grizzlies,Los Angeles,CA
basketball,pro,NBA,2023-11-15,Wednesday,",",Washington Wizards,Dallas Mavericks,Washington,DC
basketball,pro,NBA,2023-11-15,Wednesday,",",Atlanta Hawks,New York Knicks,Atlanta,GA
basketball,pro,NBA,2023-11-15,Wednesday,",",Philadelphia 76ers,Boston Celtics,Philadelphia,PA
basketball,pro,NBA,2023-11-15,Wednesday,",",Toronto Raptors,Milwaukee Bucks,Toronto,ON
basketball,pro,NBA,2023-11-15,Wednesday,",",Chicago Bulls,Orlando Magic,Chicago,IL
basketball,pro,NBA,2023-11-15,Wednesday,",",Phoenix Suns,Minnesota Timberwolves,Phoenix,AZ
basketball,pro,NBA,2023-11-15,Wednesday,",",Los Angeles Lakers,Sacramento Kings,Los Angeles,CA
basketball,pro,NBA,2023-11-15,Wednesday,",",Portland Trail Blazers,Cleveland Cavaliers,Portland,OR
basketball,pro,NBA,2023-11-16,Thursday,",",Miami Heat,Brooklyn Nets,Miami,FL
basketball,pro,NBA,2023-11-16,Thursday,",",Golden State Warriors,Oklahoma City Thunder,San Francisco,CA
basketball,pro,NBA,2023-11-17,Friday,",",Charlotte Hornets,Milwaukee Bucks,Charlotte,NC
basketball,pro,NBA,2023-11-17,Friday,",",Washington Wizards,New York Knicks,Washington,DC
basketball,pro,NBA,2023-11-17,Friday,",",Atlanta Hawks,Philadelphia 76ers,Atlanta,GA
basketball,pro,NBA,2023-11-17,Friday,",",Cleveland Cavaliers,Detroit Pistons,Cleveland,OH
basketball,pro,NBA,2023-11-17,Friday,",",San Antonio Spurs,Sacramento Kings,San Antonio,TX
basketball,pro,NBA,2023-11-17,Friday,",",Toronto Raptors,Boston Celtics,Toronto,ON
basketball,pro,NBA,2023-11-17,Friday,",",Chicago Bulls,Orlando Magic,Chicago,IL
basketball,pro,NBA,2023-11-17,Friday,",",New Orleans Pelicans,Denver Nuggets,New Orleans,LA
basketball,pro,NBA,2023-11-17,Friday,",",Portland Trail Blazers,Los Angeles Lakers,Portland,OR
basketball,pro,NBA,2023-11-17,Friday,",",Utah Jazz,Phoenix Suns,Salt Lake City,UT
