league,team_name,city,state
NHL,Carolina Hurricanes,Raleigh,NC
NHL,Calgary Flames,Calgary,AB
NHL,Los Angeles Kings,Los Angeles,CA
NHL,Toronto Maple Leafs,Toronto,ON
NHL,Vancouver Canucks,Vancouver,BC
NHL,Buffalo Sabres,Buffalo,NY
NHL,Columbus Blue Jackets,Columbus,OH
NHL,Dallas Stars,Dallas,TX
NHL,Minnesota Wild,St. Paul,MN
NHL,New Jersey Devils,Newark,NJ
NHL,Nashville Predators,Nashville,TN
NHL,San Jose Sharks,San Jose,CA
NHL,Washington Capitals,Washington,DC
NHL,Detroit Red Wings,Detroit,MI
NHL,Edmonton Oilers,Edmonton,AB
NHL,Montreal Canadiens,Montreal,QC
NHL,New York Islanders,Elmont,NY
NHL,Ottawa Senators,Ottawa,ON
NHL,St. Louis Blues,St. Louis,MO
NHL,Winnipeg Jets,Winnipeg,MB
NHL,Anaheim Ducks,Anaheim,CA
NHL,New York Rangers,New York,NY
NHL,Philadelphia Flyers,Philadelphia,PA
NHL,Seattle Kraken,Seattle,WA
NHL,Colorado Avalanche,Denver,CO
NHL,Florida Panthers,Sunrise,FL
NHL,Arizona Coyotes,Tempe,AZ
NHL,Chicago Blackhawks,Chicago,IL
NFL,Kansas City Chiefs,Kansas City,MO
NFL,Atlanta Falcons,Atlanta,GA
NFL,Cleveland Browns,Cleveland,OH
NFL,Indianapolis Colts,Indianapolis,IN
NFL,Washington Commanders,Landover,MD
NFL,Baltimore Ravens,Baltimore,MD
NFL,Minnesota Vikings,Minneapolis,MN
NFL,New Orleans Saints,New Orleans,LA
NFL,Pittsburgh Steelers,Pittsburgh,PA
NFL,Chicago Bears,Chicago,IL
NFL,Denver Broncos,Denver,CO
NFL,Los Angeles Chargers,Inglewood,CA
NFL,New England Patriots,Foxborough,MA
NFL,Seattle Seahawks,Seattle,WA
NFL,New York Giants,East Rutherford,NJ
NFL,New York Jets,East Rutherford,NJ
NFL,Philadelphia Eagles,Philadelphia,PA
NFL,Buffalo Bills,Orchard Park,NY
NFL,Tampa Bay Buccaneers,Tampa,FL
NFL,Cincinnati Bengals,Cincinnati,OH
NFL,Houston Texans,Houston,TX
NFL,Detroit Lions,Detroit,MI
NFL,Jacksonville Jaguars,Jacksonville,FL
NFL,Tennessee Titans,Nashville,TN
NFL,Arizona Cardinals,Glendale,AZ
NFL,Los Angeles Rams,Inglewood,CA
NFL,Dallas Cowboys,Arlington,TX
NFL,Carolina Panthers,Charlotte,NC
NFL,San Francisco 49ers,Santa Clara,CA
NFL,Miami Dolphins,Miami Gardens,FL
NFL,Green Bay Packers,Green Bay,WI
NFL,Las Vegas Raiders,Paradise,NV
MLB,San Diego Padres,San Diego,CA
MLB,Colorado Rockies,Denver,CO
MLB,Chicago Cubs,Chicago,IL
MLB,Los Angeles Dodgers,Los Angeles,CA
MLB,Texas Rangers,Arlington,TX
MLB,Arizona D'Backs,Phoenix,AZ
MLB,Baltimore Orioles,Baltimore,MD
MLB,Cleveland Guardians,Cleveland,OH
MLB,Detroit Tigers,Detroit,MI
MLB,Tampa Bay Rays,St. Petersburg,FL
MLB,Minnesota Twins,Minneapolis,MN
MLB,St. Louis Cardinals,St. Louis,MO
MLB,Toronto Blue Jays,Toronto,ON
MLB,New York Mets,New York,NY
MLB,Chicago White Sox,Chicago,IL
MLB,Kansas City Royals,Kansas City,MO
MLB,Oakland Athletics,Oakland,CA
MLB,San Francisco Giants,San Francisco,CA
MLB,Los Angeles Angels,Anaheim,CA
MLB,Washington Nationals,Washington,DC
MLB,Seattle Mariners,Seattle,WA
MLB,Milwaukee Brewers,Milwaukee,WI
MLB,Miami Marlins,Miami,FL
MLB,Houston Astros,Houston,TX
MLB,Cincinnati Reds,Cincinnati,OH
MLB,Boston Red Sox,Boston,MA
MLB,Atlanta Braves,Atlanta,GA
MLB,New York Yankees,New York,NY
MLB,Philadelphia Phillies,Philadelphia,PA
MLB,Pittsburgh Pirates,Pittsburgh,PA
ncaab,Buffalo,Buffalo,NY
ncaab,Fairleigh Dickinson University,Teaneck,NJ
ncaab,Queens (N.C.),Charlotte,NC
ncaab,Robert Morris,Moon Township,PA
ncaab,Manhattan,New York,NY
ncaab,Merrimack,North Andover,MA
ncaab,Saint Francis U,Loretto,PA
ncaab,Stonehill,Easton,MA
ncaab,Central Connecticut,New Britain,CT
ncaab,LIU,Brooklyn,NY
ncaab,Sacred Heart,Fairfield,CT
ncaab,Le Moyne,Syracuse,NY
ncaab,Quarterfinal,TBD,TBD
ncaab,Semifinal,TBD,TBD
ncaab,Final,TBD,TBD
ncaab,,TBD,TBD
ncaab,Gonzaga,Spokane,WA
ncaab,Loyola Marymount,Los Angeles,CA
ncaab,Quinnipiac,Hamden,CT
ncaab,Kansas,Lawrence,KS
ncaab,Santa Clara,Santa Clara,CA
ncaab,Howard,Washington,DC
ncaab,,,
ncaah,Princeton University,Princeton,NJ
ncaah,#15/19 Harvard,Cambridge,MA
ncaah,Dartmouth,Hanover,NH
ncaah,Ohio State,Columbus,OH
ncaah,Union,Schenectady,NY
ncaah,RPI,Troy,NY
ncaah,Sacred Heart,Fairfield,CT
ncaah,New Hampshire,Durham,NH
ncaah,Quinnipiac,Hamden,CT
ncaah,Cornell,Ithaca,NY
ncaah,Colgate,Hamilton,NY
ncaah,Clarkson,Potsdam,NY
ncaah,St. Lawrence,Canton,NY
ncaah,Yale,New Haven,CT
ncaah,Brown,Providence,RI
ncaab,The Citadel,Charleston,SC
ncaab,Vanderbilt,Nashville,TN
ncaab,Georgia Tech,Atlanta,GA
ncaab,Syracuse,Syracuse,NY
ncaab,Clemson,Clemson,SC
ncaab,Virginia Tech,Blacksburg,VA
ncaab,Notre Dame,Notre Dame,IN
ncaab,Duke,Durham,NC
ncaab,Florida State,Tallahassee,FL
ncaab,NC State,Raleigh,NC
ncaab,Miami,Coral Gables,FL
ncaab,Louisville,Louisville,KY
ncaab,Northeastern,Boston,MA
ncaab,Rutgers,New Brunswick,NJ
ncaab,Boston University,Boston,MA
ncaab,Navy,Annapolis,MD
ncaab,Loyola Maryland,Baltimore,MD
ncaab,Colgate,Hamilton,NY
ncaab,Lafayette,Easton,PA
ncaab,Holy Cross,Worcester,MA
ncaab,Army West Point,West Point,NY
ncaab,Lehigh,Bethlehem,PA
ncaab,PL First Round,, 
ncaab,PL Quarterfinals,, 
ncaab,PL Semifinals,, 
ncaab,PL Final,, 
ncaab,Northeastern University,Boston,MA
ncaab,La Salle,Philadelphia,PA
ncaab,East Carolina,Greenville,NC
ncaab,Virginia,Charlottesville,VA
ncaab,Central Connecticut State,New Britain,CT
ncaab,North Carolina A&T,Greensboro,NC
ncaab,Elon,Elon,NC
ncaab,Towson,Towson,MD
ncaab,Stony Brook,Stony Brook,NY
ncaab,Campbell,Buies Creek,NC
ncaab,Drexel,Philadelphia,PA
ncaab,Wagner College,Staten Island,NY
ncaab,Coppin State,Baltimore,MD
ncaab,Fairfield,Fairfield,CT
ncaab,Pepperdine,Malibu,CA
ncaab,UCLA,Los Angeles,CA
ncaab,Northern Kentucky,Highland Heights,KY
ncaab,Florida International,Miami,FL
ncaab,Mount St. Mary's,Emmitsburg,MD
ncaab,NEC Tournament,, 
ncaab,Bryant University,Smithfield,RI
ncaab,University of Kansas,Lawrence,KS
ncaab,Central Connecticut State University,New Britain,CT
ncaab,University of Connecticut,Storrs,CT
ncaab,Monmouth University,West Long Branch,NJ
ncaab,Canisius College,Buffalo,NY
ncaab,Oklahoma,Norman,OK
ncaab,UNC Wilmington,Wilmington,NC
ncaab,College of Charleston,Charleston,SC
ncaab,Hampton,Hampton,VA
ncaab,Siena,Loudonville,NY
ncaab,Penn State,University Park,PA
ncaab,at Marist,Poughkeepsie,NY
ncaab,Saint Peter's,Jersey City,NJ
ncaab,Iona,New Rochelle,NY
ncaab,Canisius,Buffalo,NY
ncaah,Dartmouth College,Hanover,NH
ncaah,Harvard University,Cambridge,MA
ncaah,Colgate University,Hamilton,NY
ncaah,Cornell University,Ithaca,NY
ncaah,Clarkson University,Potsdam,NY
ncaah,St. Lawrence University,Canton,NY
ncaah,University of Connecticut,Storrs,CT
ncaah,Arizona State University,Tempe,AZ
ncaah,Brown University,Providence,RI
ncaah,Yale University,New Haven,CT
ncaah,Quinnipiac University,Hamden,CT
ncaah,Union College,Schenectady,NY
ncaah,Rensselaer Polytechnic Institute,Troy,NY
ncaah,Boston College,Chestnut Hill,MA
ncaah,UMass Lowell,Lowell,MA
ncaah,Maine,Orono,ME
ncaah,UConn,Storrs,CT
ncaah,Notre Dame,Notre Dame,IN
ncaah,Harvard,Cambridge,MA
ncaah,Northeastern,Boston,MA
ncaah,Providence,Providence,RI
ncaah,Merrimack,North Andover,MA
ncaah,Boston University,Boston,MA
ncaah,UMass,Amherst,MA
ncaah,Bentley,Waltham,MA
ncaah,Vermont,Burlington,VT
ncaah,Northeastern University,Boston,MA
ncaah,#18 UMass,Amherst,MA
ncaah,#5/6 Providence,Providence,RI
ncaah,#13 New Hampshire,Durham,NH
ncaah,#1 Boston College,Chestnut Hill,MA
