sport,level,league,date,day,time,home_team,road_team,location,home_city,home_state
baseball,minors,Triple-A,2024-04-27,Saturday,1:05 PM ET,Buffalo,Iowa,Sahlen Field,Buffalo,NY
baseball,minors,Triple-A,2024-04-27,Saturday,1:05 PM ET,Syracuse,Columbus,NBT Bank Stadium,Syracuse,NY
baseball,minors,High-A,2024-04-27,Saturday,1:05 PM ET,Fort Wayne,Great Lakes,Parkview Field,Fort Wayne,IN
baseball,minors,Double-A,2024-04-27,Saturday,1:35 PM ET,Erie,Harrisburg,UPMC Park,Erie,PA
baseball,minors,High-A,2024-04-27,Saturday,2:00 PM ET,Brooklyn,Wilmington,Maimonides Park,Brooklyn,NY
baseball,minors,High-A,2024-04-27,Saturday,2:00 PM ET,West Michigan,Lake County,LMCU Ballpark,Comstock Park,MI
baseball,minors,High-A,2024-04-27,Saturday,2:05 PM ET,Cedar Rapids,Beloit,Rise 2 Greatness Field,Cedar Rapids,IA
baseball,minors,Triple-A,2024-04-27,Saturday,3:07 PM ET,St. Paul,Rochester,CHS Field,St. Paul,MN
baseball,minors,Double-A,2024-04-27,Saturday,4:00 PM ET,Altoona,Akron,Peoples Natural Gas Field,Altoona,PA
baseball,minors,High-A,2024-04-27,Saturday,4:05 PM ET,Vancouver,Spokane,Rogers Field at Nat Bailey Stadium,Vancouver,BC
baseball,minors,Double-A,2024-04-27,Saturday,4:05 PM ET,New Hampshire,Binghamton,Delta Dental Stadium,Manchester,NH
baseball,minors,Triple-A,2024-04-27,Saturday,4:05 PM ET,Memphis,Jacksonville,AutoZone Park,Memphis,TN
baseball,minors,High-A,2024-04-27,Saturday,4:05 PM ET,South Bend,Quad Cities,Four Winds Field,South Bend,IN
baseball,minors,Single-A,2024-04-27,Saturday,5:00 PM ET,Carolina,Salem,Five County Stadium,Zebulon,NC
baseball,minors,Triple-A,2024-04-27,Saturday,5:05 PM ET,Toledo,Worcester,Fifth Third Field,Toledo,OH
baseball,minors,High-A,2024-04-27,Saturday,5:05 PM ET,Hudson Valley,Bowling Green,Heritage Financial Park,Wappingers Falls,NY
baseball,minors,Single-A,2024-04-27,Saturday,6:00 PM ET,Jupiter,Dunedin,Roger Dean Chevrolet Stadium,Jupiter,FL
baseball,minors,High-A,2024-04-27,Saturday,6:05 PM ET,Lansing,Dayton,Jackson Field,Lansing,MI
baseball,minors,Single-A,2024-04-27,Saturday,6:05 PM ET,Fort Myers,Palm Beach,Lee Health Sports Complex,Fort Myers,FL
baseball,minors,Double-A,2024-04-27,Saturday,6:05 PM ET,Richmond,Bowie,The Diamond,Richmond,VA
baseball,minors,Single-A,2024-04-27,Saturday,6:05 PM ET,Columbia,Augusta,Segra Park,Columbia,SC
baseball,minors,Double-A,2024-04-27,Saturday,6:10 PM ET,Hartford,Portland,Dunkin' Park,Hartford,CT
baseball,minors,Single-A,2024-04-27,Saturday,6:30 PM ET,Lynchburg,Myrtle Beach,Bank of the James Stadium,Lynchburg,VA
baseball,minors,Single-A,2024-04-27,Saturday,6:30 PM ET,Tampa,Lakeland,George M. Steinbrenner Field,Tampa,FL
baseball,minors,Single-A,2024-04-27,Saturday,6:30 PM ET,Clearwater,Bradenton,BayCare Ballpark,Clearwater,FL
baseball,minors,Single-A,2024-04-27,Saturday,6:35 PM ET,Daytona,St. Lucie,Jackie Robinson Ballpark,Daytona Beach,FL
baseball,minors,Triple-A,2024-04-27,Saturday,6:35 PM ET,Durham,Scranton/WB,Durham Bulls Athletic Park,Durham,NC
baseball,minors,Triple-A,2024-04-27,Saturday,6:35 PM ET,Norfolk,Gwinnett,Harbor Park,Norfolk,VA
baseball,minors,Triple-A,2024-04-27,Saturday,6:35 PM ET,Lehigh Valley,Charlotte,Coca-Cola Park,Allentown,PA
baseball,minors,Double-A,2024-04-27,Saturday,6:45 PM ET,Reading,Somerset,FirstEnergy Stadium,Reading,PA
baseball,minors,Single-A,2024-04-27,Saturday,7:00 PM ET,Kannapolis,Charleston,Atrium Health Ballpark,Kannapolis,NC
baseball,minors,High-A,2024-04-27,Saturday,7:00 PM ET,Hickory,Asheville,L.P. Frans Stadium,Hickory,NC
baseball,minors,High-A,2024-04-27,Saturday,7:00 PM ET,Winston-Salem,Rome,Truist Stadium,Winston-Salem,NC
baseball,minors,Double-A,2024-04-27,Saturday,7:05 PM ET,Montgomery,Mississippi,Montgomery Riverwalk Stadium,Montgomery,AL
baseball,minors,High-A,2024-04-27,Saturday,7:05 PM ET,Greenville,Greensboro,Fluor Field at the West End,Greenville,SC
baseball,minors,High-A,2024-04-27,Saturday,7:05 PM ET,Aberdeen,Jersey Shore,Leidos Field at Ripken Stadium,Aberdeen,MD
baseball,minors,Triple-A,2024-04-27,Saturday,7:05 PM ET,Omaha,Indianapolis,Werner Park,Papillion,NE
baseball,minors,Single-A,2024-04-27,Saturday,7:05 PM ET,Delmarva,Fredericksburg,Arthur W. Perdue Stadium,Salisbury,MD
baseball,minors,Double-A,2024-04-27,Saturday,7:05 PM ET,Springfield,Arkansas,Hammons Field,Springfield,MO
baseball,minors,Single-A,2024-04-27,Saturday,7:05 PM ET,Fayetteville,Down East,SEGRA Stadium,Fayetteville,NC
baseball,minors,Double-A,2024-04-27,Saturday,7:05 PM ET,Pensacola,Biloxi,Blue Wahoos Stadium,Pensacola,FL
baseball,minors,Triple-A,2024-04-27,Saturday,7:05 PM ET,Reno,Sugar Land,Greater Nevada Field,Reno,NV
baseball,minors,Double-A,2024-04-27,Saturday,7:15 PM ET,Chattanooga,Birmingham,AT&T Field,Chattanooga,TN
baseball,minors,Triple-A,2024-04-27,Saturday,7:15 PM ET,Louisville,Nashville,Louisville Slugger Field,Louisville,KY
baseball,minors,Double-A,2024-04-27,Saturday,7:35 PM ET,Rocket City,Tennessee,Toyota Field,Madison,AL
baseball,minors,Double-A,2024-04-27,Saturday,8:00 PM ET,Midland,Corpus Christi,Momentum Bank Ballpark,Midland,TX
baseball,minors,Double-A,2024-04-27,Saturday,8:00 PM ET,Tulsa,NW Arkansas,ONEOK Field,Tulsa,OK
baseball,minors,High-A,2024-04-27,Saturday,8:05 PM ET,Peoria,Wisconsin,Dozer Park,Peoria,IL
baseball,minors,Double-A,2024-04-27,Saturday,8:05 PM ET,San Antonio,Wichita,Nelson Wolff Stadium,San Antonio,TX
baseball,minors,Double-A,2024-04-27,Saturday,8:05 PM ET,Frisco,Amarillo,Riders Field,Frisco,TX
baseball,minors,Triple-A,2024-04-27,Saturday,8:15 PM ET,Round Rock,Salt Lake,Dell Diamond,Round Rock,TX
baseball,minors,Triple-A,2024-04-27,Saturday,8:35 PM ET,Albuquerque,Okla. City,Isotopes Park,Albuquerque,NM
baseball,minors,High-A,2024-04-27,Saturday,9:05 PM ET,Eugene,Hillsboro,PK Park,Eugene,OR
baseball,minors,Single-A,2024-04-27,Saturday,9:05 PM ET,Modesto,Stockton,John Thurman Field,Modesto,CA
baseball,minors,Triple-A,2024-04-27,Saturday,9:05 PM ET,Tacoma,El Paso,Cheney Stadium,Tacoma,WA
baseball,minors,High-A,2024-04-27,Saturday,9:30 PM ET,Tri-City,Everett,Gesa Stadium,Pasco,WA
baseball,minors,Single-A,2024-04-27,Saturday,9:30 PM ET,Visalia,Inland Empire,Valley Strong Ballpark,Visalia,CA
baseball,minors,Single-A,2024-04-27,Saturday,9:30 PM ET,Rancho Cuca.,Lake Elsinore,LoanMart Field,Rancho Cucamonga,CA
baseball,minors,Triple-A,2024-04-27,Saturday,9:37 PM ET,Sacramento,Las Vegas,Sutter Health Park,Sacramento,CA
baseball,minors,Single-A,2024-04-27,Saturday,9:50 PM ET,Fresno,San Jose,Chukchansi Park,Fresno,CA
