Sport,Level,League,Date,Day,Time,Home Team,Road Team,Location,Home City,Home State
basketball,pro,NBA,2023-10-31,Tuesday,,Phoenix Suns,San Antonio Spurs,Footprint Center,Phoenix,AZ
basketball,pro,NBA,2023-10-31,Tuesday,,Los Angeles Clippers,Orlando Magic,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-11-01,Wednesday,,Detroit Pistons,Portland Trail Blazers,Little Caesars Arena,Detroit,MI
basketball,pro,NBA,2023-11-01,Wednesday,,Toronto Raptors,Milwaukee Bucks,Scotiabank Arena,Toronto,ON
basketball,pro,NBA,2023-11-01,Wednesday,,Atlanta Hawks,Washington Wizards,State Farm Arena,Atlanta,GA
basketball,pro,NBA,2023-11-01,Wednesday,,Boston Celtics,Indiana Pacers,TD Garden,Boston,MA
basketball,pro,NBA,2023-11-01,Wednesday,,Miami Heat,Brooklyn Nets,Kaseya Center,Miami,FL
basketball,pro,NBA,2023-11-01,Wednesday,,New York Knicks,Cleveland Cavaliers,Madison Square Garden (IV),New York,NY
basketball,pro,NBA,2023-11-01,Wednesday,,Oklahoma City Thunder,New Orleans Pelicans,Paycom Center,Oklahoma City,OK
basketball,pro,NBA,2023-11-01,Wednesday,,Houston Rockets,Charlotte Hornets,Toyota Center,Houston,TX
basketball,pro,NBA,2023-11-01,Wednesday,,Minnesota Timberwolves,Denver Nuggets,Target Center,Minneapolis,MN
basketball,pro,NBA,2023-11-01,Wednesday,,Dallas Mavericks,Chicago Bulls,American Airlines Center,Dallas,TX
basketball,pro,NBA,2023-11-01,Wednesday,,Utah Jazz,Memphis Grizzlies,Delta Center,Salt Lake City,UT
basketball,pro,NBA,2023-11-01,Wednesday,,Golden State Warriors,Sacramento Kings,Chase Center,San Francisco,CA
basketball,pro,NBA,2023-11-01,Wednesday,,Los Angeles Lakers,Los Angeles Clippers,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-11-02,Thursday,,Philadelphia 76ers,Toronto Raptors,Wells Fargo Center,Philadelphia,PA
basketball,pro,NBA,2023-11-02,Thursday,,New Orleans Pelicans,Detroit Pistons,Smoothie King Center,New Orleans,LA
basketball,pro,NBA,2023-11-02,Thursday,,Utah Jazz,Orlando Magic,Delta Center,Salt Lake City,UT
basketball,pro,NBA,2023-11-02,Thursday,,Phoenix Suns,San Antonio Spurs,Footprint Center,Phoenix,AZ
basketball,pro,NBA,2023-11-03,Friday,,Indiana Pacers,Cleveland Cavaliers,Gainbridge Fieldhouse,Indianapolis,IN
basketball,pro,NBA,2023-11-03,Friday,,Milwaukee Bucks,New York Knicks,Fiserv Forum,Milwaukee,WI
basketball,pro,NBA,2023-11-03,Friday,,Chicago Bulls,Brooklyn Nets,United Center,Chicago,IL
basketball,pro,NBA,2023-11-03,Friday,,Miami Heat,Washington Wizards,Kaseya Center,Miami,FL
basketball,pro,NBA,2023-11-03,Friday,,Oklahoma City Thunder,Golden State Warriors,Paycom Center,Oklahoma City,OK
basketball,pro,NBA,2023-11-03,Friday,,Denver Nuggets,Dallas Mavericks,Ball Arena,Denver,CO
basketball,pro,NBA,2023-11-03,Friday,,Portland Trail Blazers,Memphis Grizzlies,Moda Center,Portland,OR
basketball,pro,NBA,2023-11-04,Saturday,,Philadelphia 76ers,Phoenix Suns,Wells Fargo Center,Philadelphia,PA
basketball,pro,NBA,2023-11-04,Saturday,,Indiana Pacers,Charlotte Hornets,Gainbridge Fieldhouse,Indianapolis,IN
basketball,pro,NBA,2023-11-04,Saturday,,New Orleans Pelicans,Atlanta Hawks,Smoothie King Center,New Orleans,LA
basketball,pro,NBA,2023-11-04,Saturday,,Orlando Magic,Los Angeles Lakers,Amway Center,Orlando,FL
basketball,pro,NBA,2023-11-04,Saturday,,Brooklyn Nets,Boston Celtics,Barclays Center,Brooklyn,NY
basketball,pro,NBA,2023-11-04,Saturday,,Houston Rockets,Sacramento Kings,Toyota Center,Houston,TX
basketball,pro,NBA,2023-11-04,Saturday,,Minnesota Timberwolves,Utah Jazz,Target Center,Minneapolis,MN
basketball,pro,NBA,2023-11-04,Saturday,,Denver Nuggets,Chicago Bulls,Ball Arena,Denver,CO
basketball,pro,NBA,2023-11-05,Sunday,,Detroit Pistons,Phoenix Suns,Little Caesars Arena,Detroit,MI
basketball,pro,NBA,2023-11-05,Sunday,,San Antonio Spurs,Toronto Raptors,Frost Bank Center,San Antonio,TX
basketball,pro,NBA,2023-11-05,Sunday,,Cleveland Cavaliers,Golden State Warriors,Rocket Mortgage Fieldhouse,Cleveland,OH
basketball,pro,NBA,2023-11-05,Sunday,,Dallas Mavericks,Charlotte Hornets,American Airlines Center,Dallas,TX
basketball,pro,NBA,2023-11-05,Sunday,,Portland Trail Blazers,Memphis Grizzlies,Moda Center,Portland,OR
basketball,pro,NBA,2023-11-06,Monday,,Detroit Pistons,Golden State Warriors,Little Caesars Arena,Detroit,MI
basketball,pro,NBA,2023-11-06,Monday,,Indiana Pacers,San Antonio Spurs,Gainbridge Fieldhouse,Indianapolis,IN
basketball,pro,NBA,2023-11-06,Monday,,Orlando Magic,Dallas Mavericks,Amway Center,Orlando,FL
basketball,pro,NBA,2023-11-06,Monday,,Philadelphia 76ers,Washington Wizards,Wells Fargo Center,Philadelphia,PA
basketball,pro,NBA,2023-11-06,Monday,,Brooklyn Nets,Milwaukee Bucks,Barclays Center,Brooklyn,NY
basketball,pro,NBA,2023-11-06,Monday,,Miami Heat,Los Angeles Lakers,Kaseya Center,Miami,FL
basketball,pro,NBA,2023-11-06,Monday,,New York Knicks,Los Angeles Clippers,Madison Square Garden (IV),New York,NY
basketball,pro,NBA,2023-11-06,Monday,,Chicago Bulls,Utah Jazz,United Center,Chicago,IL
basketball,pro,NBA,2023-11-06,Monday,,Houston Rockets,Sacramento Kings,Toyota Center,Houston,TX
basketball,pro,NBA,2023-11-06,Monday,,Minnesota Timberwolves,Boston Celtics,Target Center,Minneapolis,MN
basketball,pro,NBA,2023-11-06,Monday,,Oklahoma City Thunder,Atlanta Hawks,Paycom Center,Oklahoma City,OK
basketball,pro,NBA,2023-11-06,Monday,,Denver Nuggets,New Orleans Pelicans,Ball Arena,Denver,CO
basketball,pro,NBA,2023-11-08,Wednesday,,Charlotte Hornets,Washington Wizards,Spectrum Center,Charlotte,NC
basketball,pro,NBA,2023-11-08,Wednesday,,Indiana Pacers,Utah Jazz,Gainbridge Fieldhouse,Indianapolis,IN
basketball,pro,NBA,2023-11-08,Wednesday,,Philadelphia 76ers,Boston Celtics,Wells Fargo Center,Philadelphia,PA
basketball,pro,NBA,2023-11-08,Wednesday,,Brooklyn Nets,Los Angeles Clippers,Barclays Center,Brooklyn,NY
basketball,pro,NBA,2023-11-08,Wednesday,,New York Knicks,San Antonio Spurs,Madison Square Garden (IV),New York,NY
basketball,pro,NBA,2023-11-08,Wednesday,,Chicago Bulls,Phoenix Suns,United Center,Chicago,IL
basketball,pro,NBA,2023-11-08,Wednesday,,Houston Rockets,Los Angeles Lakers,Toyota Center,Houston,TX
basketball,pro,NBA,2023-11-08,Wednesday,,Memphis Grizzlies,Miami Heat,FedEx Forum,Memphis,TN
basketball,pro,NBA,2023-11-08,Wednesday,,Milwaukee Bucks,Detroit Pistons,Fiserv Forum,Milwaukee,WI
basketball,pro,NBA,2023-11-08,Wednesday,,Minnesota Timberwolves,New Orleans Pelicans,Target Center,Minneapolis,MN
basketball,pro,NBA,2023-11-08,Wednesday,,Oklahoma City Thunder,Cleveland Cavaliers,Paycom Center,Oklahoma City,OK
basketball,pro,NBA,2023-11-08,Wednesday,,Dallas Mavericks,Toronto Raptors,American Airlines Center,Dallas,TX
basketball,pro,NBA,2023-11-08,Wednesday,,Denver Nuggets,Golden State Warriors,Ball Arena,Denver,CO
basketball,pro,NBA,2023-11-08,Wednesday,,Sacramento Kings,Portland Trail Blazers,Golden 1 Center,Sacramento,CA
basketball,pro,NBA,2023-11-09,Thursday,,Indiana Pacers,Milwaukee Bucks,Gainbridge Fieldhouse,Indianapolis,IN
basketball,pro,NBA,2023-11-09,Thursday,,Orlando Magic,Atlanta Hawks,Mexico City Arena,Orlando,FL
basketball,pro,NBA,2023-11-10,Friday,,Detroit Pistons,Philadelphia 76ers,Little Caesars Arena,Detroit,MI
basketball,pro,NBA,2023-11-10,Friday,,Washington Wizards,Charlotte Hornets,Capital One Arena,Washington,DC
basketball,pro,NBA,2023-11-10,Friday,,Boston Celtics,Brooklyn Nets,TD Garden,Boston,MA
basketball,pro,NBA,2023-11-10,Friday,,Houston Rockets,New Orleans Pelicans,Toyota Center,Houston,TX
basketball,pro,NBA,2023-11-10,Friday,,Memphis Grizzlies,Utah Jazz,FedEx Forum,Memphis,TN
basketball,pro,NBA,2023-11-10,Friday,,San Antonio Spurs,Minnesota Timberwolves,Frost Bank Center,San Antonio,TX
basketball,pro,NBA,2023-11-10,Friday,,Dallas Mavericks,Los Angeles Clippers,American Airlines Center,Dallas,TX
basketball,pro,NBA,2023-11-10,Friday,,Phoenix Suns,Los Angeles Lakers,Footprint Center,Phoenix,AZ
basketball,pro,NBA,2023-11-10,Friday,,Sacramento Kings,Oklahoma City Thunder,Golden 1 Center,Sacramento,CA
basketball,pro,NBA,2023-11-11,Saturday,,Orlando Magic,Milwaukee Bucks,Amway Center,Orlando,FL
basketball,pro,NBA,2023-11-11,Saturday,,Boston Celtics,Toronto Raptors,TD Garden,Boston,MA
basketball,pro,NBA,2023-11-11,Saturday,,Atlanta Hawks,Miami Heat,State Farm Arena,Atlanta,GA
basketball,pro,NBA,2023-11-11,Saturday,,Golden State Warriors,Cleveland Cavaliers,Chase Center,San Francisco,CA
basketball,pro,NBA,2023-11-12,Sunday,,New York Knicks,Charlotte Hornets,Madison Square Garden (IV),New York,NY
basketball,pro,NBA,2023-11-12,Sunday,,Brooklyn Nets,Washington Wizards,Barclays Center,Brooklyn,NY
basketball,pro,NBA,2023-11-12,Sunday,,Los Angeles Clippers,Memphis Grizzlies,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-11-12,Sunday,,Philadelphia 76ers,Indiana Pacers,Wells Fargo Center,Philadelphia,PA
basketball,pro,NBA,2023-11-12,Sunday,,Chicago Bulls,Detroit Pistons,United Center,Chicago,IL
basketball,pro,NBA,2023-11-12,Sunday,,Houston Rockets,Denver Nuggets,Toyota Center,Houston,TX
basketball,pro,NBA,2023-11-12,Sunday,,New Orleans Pelicans,Dallas Mavericks,Smoothie King Center,New Orleans,LA
basketball,pro,NBA,2023-11-12,Sunday,,San Antonio Spurs,Miami Heat,Frost Bank Center,San Antonio,TX
basketball,pro,NBA,2023-11-12,Sunday,,Phoenix Suns,Oklahoma City Thunder,Footprint Center,Phoenix,AZ
basketball,pro,NBA,2023-11-12,Sunday,,Golden State Warriors,Minnesota Timberwolves,Chase Center,San Francisco,CA
basketball,pro,NBA,2023-11-12,Sunday,,Los Angeles Lakers,Portland Trail Blazers,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-11-13,Monday,,Boston Celtics,New York Knicks,TD Garden,Boston,MA
basketball,pro,NBA,2023-11-13,Monday,,Toronto Raptors,Washington Wizards,Scotiabank Arena,Toronto,ON
basketball,pro,NBA,2023-11-13,Monday,,Milwaukee Bucks,Chicago Bulls,Fiserv Forum,Milwaukee,WI
basketball,pro,NBA,2023-11-13,Monday,,Sacramento Kings,Cleveland Cavaliers,Golden 1 Center,Sacramento,CA
basketball,pro,NBA,2023-11-14,Tuesday,,Charlotte Hornets,Miami Heat,Spectrum Center,Charlotte,NC
basketball,pro,NBA,2023-11-14,Tuesday,,Detroit Pistons,Atlanta Hawks,Little Caesars Arena,Detroit,MI
basketball,pro,NBA,2023-11-14,Tuesday,,Philadelphia 76ers,Indiana Pacers,Wells Fargo Center,Philadelphia,PA
basketball,pro,NBA,2023-11-14,Tuesday,,Brooklyn Nets,Orlando Magic,Barclays Center,Brooklyn,NY
basketball,pro,NBA,2023-11-14,Tuesday,,Oklahoma City Thunder,San Antonio Spurs,Paycom Center,Oklahoma City,OK
basketball,pro,NBA,2023-11-14,Tuesday,,New Orleans Pelicans,Dallas Mavericks,Smoothie King Center,New Orleans,LA
basketball,pro,NBA,2023-11-14,Tuesday,,Utah Jazz,Portland Trail Blazers,Delta Center,Salt Lake City,UT
basketball,pro,NBA,2023-11-14,Tuesday,,Denver Nuggets,Los Angeles Clippers,Ball Arena,Denver,CO
basketball,pro,NBA,2023-11-14,Tuesday,,Golden State Warriors,Minnesota Timberwolves,Chase Center,San Francisco,CA
basketball,pro,NBA,2023-11-14,Tuesday,,Los Angeles Lakers,Memphis Grizzlies,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-11-15,Wednesday,,Washington Wizards,Dallas Mavericks,Capital One Arena,Washington,DC
basketball,pro,NBA,2023-11-15,Wednesday,,Atlanta Hawks,New York Knicks,State Farm Arena,Atlanta,GA
basketball,pro,NBA,2023-11-15,Wednesday,,Philadelphia 76ers,Boston Celtics,Wells Fargo Center,Philadelphia,PA
basketball,pro,NBA,2023-11-15,Wednesday,,Toronto Raptors,Milwaukee Bucks,Scotiabank Arena,Toronto,ON
