primary_key,sport,level,league,date,day,time,home_team,road_team,location,home_city,home_state
NBA_2023-10-28_NA_Phoenix Suns_Utah Jazz,basketball,pro,NBA,2023-10-28,Saturday,,Phoenix Suns,Utah Jazz,Footprint Center,Phoenix,AZ
NBA_2023-10-29_NA_Oklahoma City Thunder_Denver Nuggets,basketball,pro,NBA,2023-10-29,Sunday,,Oklahoma City Thunder,Denver Nuggets,Paycom Center,Oklahoma City,OK
NBA_2023-10-29_NA_Houston Rockets_Golden State Warriors,basketball,pro,NBA,2023-10-29,Sunday,,Houston Rockets,Golden State Warriors,Toyota Center,Houston,TX
NBA_2023-10-29_NA_Milwaukee Bucks_Atlanta Hawks,basketball,pro,NBA,2023-10-29,Sunday,,Milwaukee Bucks,Atlanta Hawks,Fiserv Forum,Milwaukee,WI
NBA_2023-10-29_NA_Philadelphia 76ers_Portland Trail Blazers,basketball,pro,NBA,2023-10-29,Sunday,,Philadelphia 76ers,Portland Trail Blazers,Wells Fargo Center,Philadelphia,PA
NBA_2023-10-29_NA_Los Angeles Clippers_San Antonio Spurs,basketball,pro,NBA,2023-10-29,Sunday,,Los Angeles Clippers,San Antonio Spurs,Crypto.com Arena,Los Angeles,CA
NBA_2023-10-29_NA_Sacramento Kings_Los Angeles Lakers,basketball,pro,NBA,2023-10-29,Sunday,,Sacramento Kings,Los Angeles Lakers,Golden 1 Center,Sacramento,CA
NBA_2023-10-30_NA_Indiana Pacers_Chicago Bulls,basketball,pro,NBA,2023-10-30,Monday,,Indiana Pacers,Chicago Bulls,Gainbridge Fieldhouse,Indianapolis,IN
NBA_2023-10-30_NA_Washington Wizards_Boston Celtics,basketball,pro,NBA,2023-10-30,Monday,,Washington Wizards,Boston Celtics,Capital One Arena,Washington,DC
NBA_2023-10-30_NA_Charlotte Hornets_Brooklyn Nets,basketball,pro,NBA,2023-10-30,Monday,,Charlotte Hornets,Brooklyn Nets,Spectrum Center,Charlotte,NC
NBA_2023-10-30_NA_Toronto Raptors_Portland Trail Blazers,basketball,pro,NBA,2023-10-30,Monday,,Toronto Raptors,Portland Trail Blazers,Scotiabank Arena,Toronto,ON
NBA_2023-10-30_NA_Atlanta Hawks_Minnesota Timberwolves,basketball,pro,NBA,2023-10-30,Monday,,Atlanta Hawks,Minnesota Timberwolves,State Farm Arena,Atlanta,GA
NBA_2023-10-30_NA_Memphis Grizzlies_Dallas Mavericks,basketball,pro,NBA,2023-10-30,Monday,,Memphis Grizzlies,Dallas Mavericks,FedEx Forum,Memphis,TN
NBA_2023-10-30_NA_Milwaukee Bucks_Miami Heat,basketball,pro,NBA,2023-10-30,Monday,,Milwaukee Bucks,Miami Heat,Fiserv Forum,Milwaukee,WI
